address,eth_balance
0x1e516c05af1a2bcde78e1dfcff9efbea5fc2b886,0
0xb98a9f4a78e0419944b80380ce0c5ffae0ecf291,0
0xcf7b45e4d4a02a6183fd21f864ec2fb7192c5acd,0
0xd4707836b8d4ccdda362ab793429e15121690678,0
0x34342045fe40077ca2b288a6b4420d43174c815e,0
0x446cbe5052ffe1182c9507425d3f2bcef0f57314,0
0xe7cb17d728bd18f6fabae21bdba7284ae041b3fe,0
0x596e45e1583a85d4e76f83005a52089806eccacb,0
0xcadb452c7f38b06dd0794b737800f156b4c5c9ce,0
0xec5d2e13eb5b83fc9acf70d841ad239a422e1d06,0
0xf4a38a6bbffa90609d11d61b57edcb7596e3c872,0
0xccc6243e194148e35736b911be8b93b0986e6f07,0
0xbd30d293b65b0a8908eb14e054513289b8ac09ad,0
0x42bd3c3d1f7f9b428149791ff79e3f9ce7d378d2,0
0x421fecfdb27ede9fe0b11bf0ba76d1d91b9ed662,0
0xf0e99ff7a80d0d314858f86c340199fd8c5ff49a,0
0x42408406386a256a9f5f17b3d153f32699bb65b2,0
0xddcccd961e3afeb1af574e9c3ffb48edfcbbeae7,0
0xcbf6e06c30c680c6ca5246a343e3dc63afb9b7bf,0
0xb771f516897930baac3d11ddd1fe19a9940863be,0
0x8522d581c5041acd4bca122855a7db6b8e6ed357,0
0xb9fa7e44996bfbefe957788983d4ef580df49338,0
0x4a301c5dac8dbee1192c8a82d6d7c9cf02ef213c,0
0x1dc9f72ad6f5d8d003c00cda6f3e9ead87fd5d8f,0
0x7207bd0b80f8ffc0f03c7645824d1f8a1a2f7d31,0
0xb1b853a1aac513f2ab91133ca8ae5d78c24cb828,0
0x42c4a510e33a21d249060e5da1b8774285fb507e,0
0x8b0ebd1daf19b521f7590b42c9f3d5bf93e20c96,0
0x51e7e00ffac5b58ac302533593d9eae593901add,0
0x6b2c12e6e26f3756ba06e83230ee774af9058775,0
0x59604994069bdd509ecae65f914fd635bb44b0e6,0
0x9308f070757559f7cfbf8dabe7980968efd39f50,0
0xffb6271584cc05c6ae7f6fd6c25e07e92fff8da7,0
0xac0d5cad1e6004103ee8b967348eb0f6cf8b4a39,0
0xb45d1f93ce7b629a7608898da7ae7161f132aa4c,0
0xdb86328cbb4d376521dae843ced5a1accc7f236c,0
0x5100780053ab85efdaf1d177ab5d57ddda291d57,0
0xf0ea9a8ee0168681a02352daeb012b4d115a6b30,0
0x9717bdaeae5cc940d83a21e937f1c4202006bd82,0
0x86cc5392def7039d5d37951f6e005711a37afdcd,0
0x7a0a540ff7deaf12d86c472a7529d73a63a5f446,0
0x00000000000000000000000000000000001c804d,0
