address,symbol,name,decimals
0x6533c4f570442720cba141f23a0901a5cbe9bcac,TRUE,TRUEQUE,18
0xd987582aa9c8a332cf244a5563cfa77caae04399,ADC,Adtalos Coin,18
0x7f4c9706f2ccf48392cc44c5173bd6da10ab57e4,fos,fanos,18
0xfa7baa85f76c5e245879f6ab4283f543467c3097,AIP,ArchiLexIP,18
0x1bd6d5ab87f775ff88fb86c9fcf51ef51c43b5fa,KDCC,KDC cash,18
0xb950cbd39e41f78979ac6ae69be5698d49c57cf8,AKT,AKT,18
0x4538789ae63d0077129de4f27075cb178e3f074d,INV,InvisiCoin,18
0x6d1490a998fecced43c1e9b510db351584356082,INV,InvisiCoin,18
0x00d45e0a82c9eeb8331f91498e0a9ea8f40d435d,PEO,PowerEOZ,18
0x436cda71c51d308c80058a972a9aa36d7d0d9e91,DSB,DSB Token,18
0xf69db5ac0d3d38d9dcf725c2de079f749c2b54fb,WAR3,Web War 3,18
0xc768c5f94c29421e54855fb6695c70b733bd8281,aXc,autoXchange,18
0xc86b5c00c9f23fb1adb31e9b52d97b250ff9fadc,BENT,BENT,18
0xe473b9af9bf12382f5d786032d9312a7bb215c9b,,,18
0xdc1f6b2ff1d77177f9eb38205331eb10ce6c370d,ML,码链,18
0x1b6eea1b9a69ac9984d14b09c26324db90491fa1,Shih,Shit Tzu Doge,18
0x65a4a74fb5c65b386c777f4d7c7e0e50e934f69e,,,
0x63e15de4bfb1426da0da9ca424f9a6e6a1346e4b,,,
0xd87a852274016d548f43bf44df1682815d517a63,,,
0x42fde975d4274b66999d52e878578651b2a4a07e, ATE, ATE,0
0x8e693dd9a22b146ca16346ed709200aba59a7d65,CF,TheToken,0
0x2c921b949a47aac261c59fd22a04ba0f0697ec07,NTC,NeutrinoCoin,2
0xf1326d0b50ee8931643b63be71b4463f5774d487,CRC,CRC Token,2
0x5a3afc4b33135efd4c2b84c36c18c6a67c884afe,BTCC,Bitconcent,3
