transaction_hash,transaction_index,from_address,to_address,value,input,output,trace_type,call_type,reward_type,gas,gas_used,subtraces,trace_address,error,status,block_timestamp,block_number,block_hash,trace_id
0xd7df39501701abfad7ff76e3840ad47183023c5c16dee6f584a333c3bedea9a1,67,0x2b9c6fb19f1ec7fe5a3a210280d5877c746b05cc,0x000000000099bee67b9d593aa8ff5447ef99d8c5,0,,,suicide,,,,,0,"7,6,0",,1,1/16/2020 13:04:33,9292361,0xff3558e3e3d0d431a275ef58688f7619e3444d8cc5b09a9f091aea0d1fba6f45,suicide_0xd7df39501701abfad7ff76e3840ad47183023c5c16dee6f584a333c3bedea9a1_7_6_0
0x94390a6ba47b97e3fb9cc45d89b3b30024478de4d87cffafdb0c73447197aa63,13,0x8e8fa70d0ac8c64de2402beab03610217139c307,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,0,0,0",,1,1/16/2020 0:35:44,9288973,0x4897372480c699ac3571bbb4f8b93f2faf9daee5098b3dfa8e667a049b91fbe9,suicide_0x94390a6ba47b97e3fb9cc45d89b3b30024478de4d87cffafdb0c73447197aa63_0_0_0_0
0x6bbc4aa839ca12996a36b71d1a6c4580fbece48d7021cdc0a3b28de82ba0f0db,37,0xa44eaea67bfa407cd04142de56cba7f4c8be3032,0x0000000000c90bc353314b6911180ed7e06019a9,0,,,suicide,,,,,0,"3,0",,1,1/16/2020 22:37:21,9294937,0x73fdf578b3c964d7a097376c5a5fedc18f7a8bbdfdbec9977157ddb06e809ddf,suicide_0x6bbc4aa839ca12996a36b71d1a6c4580fbece48d7021cdc0a3b28de82ba0f0db_3_0
0xe814fa3aff878276cd5f72482b8990a5dd1f61591ab0e889ebd5cdb5113f7484,80,0x2cd6d6c30a0cddac83896ea3167fa4119003b962,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"2,28,0",,1,1/16/2020 15:00:15,9292887,0x5103a09ce60285bc2c7783849666bf59bb311447b61bbcfdc0424d8c02892063,suicide_0xe814fa3aff878276cd5f72482b8990a5dd1f61591ab0e889ebd5cdb5113f7484_2_28_0
0x92ed9b0b27aec0103fd46475a9c1c13f54d3d337399e3756f961b9e6d0b53693,72,0x487a3b4c23b72b9ff9926009f98d8af4558ea7a9,0x0000000000c90bc353314b6911180ed7e06019a9,0,,,suicide,,,,,0,"11,0",,1,1/16/2020 15:53:48,9293106,0xdb51ff4e9c0de77e3c5c320f306206a83e720e8e2b76d6f4bdb19658ef61fdb7,suicide_0x92ed9b0b27aec0103fd46475a9c1c13f54d3d337399e3756f961b9e6d0b53693_11_0
0xc0727abe697d302e95b9695b6ba1af78a620bf9ba84d9c5438dfd11d027a936c,19,0xe230e5bd9d9259e673559be953a1a4a36851aab5,0x8018280076d7fa2caa1147e441352e8a89e1ddbe,0,,,suicide,,,,,0,"12,0",,1,1/16/2020 15:01:27,9292890,0x7eb48d8b237669342c11855b6ec6c6d2a58b4748bbede5d75ced8f2f800b713b,suicide_0xc0727abe697d302e95b9695b6ba1af78a620bf9ba84d9c5438dfd11d027a936c_12_0
0x7eae762a3c701817c930c35eec4b77da86efd8dcb569d083bdc5aefd483dee96,159,0x90b64cdd68f1e9d81dcf2158368366cdcadbea25,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,0,3,0",,1,1/16/2020 12:44:05,9292271,0x23b5d62243703070b56d577392c5f9dd9470288506adf197c2c5fe3242088be0,suicide_0x7eae762a3c701817c930c35eec4b77da86efd8dcb569d083bdc5aefd483dee96_0_0_3_0
0xbdb7b9e5f2aa23d52c78220b2fa51610ef01659b0d013778dfafc9de826e2810,88,0x743e974ae44284e7f889fa7efbee97439e8e161e,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,0,4,0",,1,1/16/2020 12:30:19,9292220,0xcb005c591fb5e186877117c88a1c380b70eed71c074764aafddfbc4eeab4a7c4,suicide_0xbdb7b9e5f2aa23d52c78220b2fa51610ef01659b0d013778dfafc9de826e2810_0_0_4_0
0x1e17f5942b19b65f5e0b60320105b4842efae752657da5d3d52faff17be784a7,2,0x97f0cf749a64193d3b5b73473c224db2915d3fab,0x000007222caeb29694719e804b24fb3ee5116a8a,0,,,suicide,,,,,0,"0,19,0",,1,1/16/2020 23:57:30,9295309,0xff8ea646fdb11419f138903a71c90edfe4186561a87c8a71b0cf38fc6ed42d52,suicide_0x1e17f5942b19b65f5e0b60320105b4842efae752657da5d3d52faff17be784a7_0_19_0
0xd0d885c1b644e73c2c15d7c08ad8072b5aa8b4ff36f941c060fa518cca60897d,30,0xe9b33d810b082ff9acdb70f22aa06b2824114b4f,0x00000000a8f806c754549943b6550a2594c9a126,0,,,suicide,,,,,0,"0,4,0",,1,1/16/2020 23:56:11,9295303,0x14ca8f94d83024618e76b71ec92621fba2522ba34ffabd7693ce2e24fd0ff566,suicide_0xd0d885c1b644e73c2c15d7c08ad8072b5aa8b4ff36f941c060fa518cca60897d_0_4_0
